,Year,Geo_Code,Force_Name,Deployed_Amount,Crime_Amount
0,2011,E23000001,metropolitan,56739,1223176
1,2011,E23000002,cumbria,2353,54033
2,2011,E23000003,lancashire,6391,205134
3,2011,E23000004,merseyside,7590,158033
4,2011,E23000005,greater-manchester,13329,355748
5,2011,E23000006,cheshire,4248,94322
6,2011,E23000007,northumbria,6983,171670
7,2011,E23000008,durham,2615,78902
8,2011,E23000009,north-yorkshire,2986,77980
9,2011,E23000010,west-yorkshire,10481,297608
10,2011,E23000011,south-yorkshire,6084,206381
11,2011,E23000012,humberside,4414,105374
12,2011,E23000013,cleveland,2300,96033
13,2011,E23000014,west-midlands,13204,320446
14,2011,E23000015,staffordshire,4250,92768
15,2011,E23000016,west-mercia,4692,134601
16,2011,E23000017,warwickshire,2094,55595
17,2011,E23000018,derbyshire,3959,120767
18,2011,E23000019,nottinghamshire,4693,137678
19,2011,E23000020,lincolnshire,2511,77068
20,2011,E23000021,leicestershire,3993,101080
21,2011,E23000022,northamptonshire,3018,88922
22,2011,E23000023,cambridgeshire,2846,85891
23,2011,E23000024,norfolk,3331,85192
24,2011,E23000025,suffolk,2800,81554
25,2011,E23000026,bedfordshire,2500,74919
26,2011,E23000027,hertfordshire,4454,113749
27,2011,E23000028,essex,6913,162895
28,2011,E23000029,thames-valley,8852,205077
29,2011,E23000030,hampshire,6900,210516
30,2011,E23000031,surrey,4705,112168
31,2011,E23000032,kent,7128,169957
32,2011,E23000033,sussex,5974,182154
33,2011,E23000034,city-of-london,1367,8450
34,2011,E23000036,avon-and-somerset,6235,182458
35,2011,E23000037,gloucestershire,2462,64695
36,2011,E23000038,wiltshire,2588,61517
37,2011,E23000039,dorset,3115,82076
38,2011,W15000001,north-wales,2915,70774
39,2011,W15000002,gwent,2685,73800
40,2011,W15000003,south-wales,5562,158106
41,2011,W15000004,dyfed-powys,2177,46820
42,2012,E23000001,metropolitan,55123,1124612
43,2012,E23000002,cumbria,2236,49460
44,2012,E23000003,lancashire,6148,182923
45,2012,E23000004,merseyside,7343,152139
46,2012,E23000005,greater-manchester,12654,309315
47,2012,E23000006,cheshire,4104,96586
48,2012,E23000007,northumbria,6360,158213
49,2012,E23000008,durham,2488,59559
50,2012,E23000009,north-yorkshire,2775,71959
51,2012,E23000010,west-yorkshire,9912,257780
52,2012,E23000011,south-yorkshire,5780,185579
53,2012,E23000012,humberside,4249,87788
54,2012,E23000013,cleveland,2111,81107
55,2012,E23000014,west-midlands,12539,254998
56,2012,E23000015,staffordshire,4084,91802
57,2012,E23000016,west-mercia,4493,119443
58,2012,E23000017,warwickshire,1879,50785
59,2012,E23000018,derbyshire,3642,105837
60,2012,E23000019,nottinghamshire,4292,110464
61,2012,E23000020,lincolnshire,2391,67740
62,2012,E23000021,leicestershire,3944,86516
63,2012,E23000022,northamptonshire,2808,80374
64,2012,E23000023,cambridgeshire,2788,77067
65,2012,E23000024,norfolk,3272,70999
66,2012,E23000025,suffolk,2658,69237
67,2012,E23000026,bedfordshire,2374,64895
68,2012,E23000027,hertfordshire,4334,92827
69,2012,E23000028,essex,6408,157808
70,2012,E23000029,thames-valley,8827,168517
71,2012,E23000030,hampshire,6551,183141
72,2012,E23000031,surrey,4726,95749
73,2012,E23000032,kent,6670,155173
74,2012,E23000033,sussex,5772,156162
75,2012,E23000034,city-of-london,1320,7295
76,2012,E23000036,avon-and-somerset,5917,159000
77,2012,E23000037,gloucestershire,2333,55295
78,2012,E23000038,wiltshire,2465,58879
79,2012,E23000039,dorset,2866,72582
80,2012,W15000001,north-wales,2785,67319
81,2012,W15000002,gwent,2630,54746
82,2012,W15000003,south-wales,5230,131885
83,2012,W15000004,dyfed-powys,2097,43241
84,2013,E23000001,metropolitan,52631,988980
85,2013,E23000002,cumbria,2098,49481
86,2013,E23000003,lancashire,5971,177154
87,2013,E23000004,merseyside,7026,151406
88,2013,E23000005,greater-manchester,12332,317385
89,2013,E23000006,cheshire,3995,92856
90,2013,E23000007,northumbria,6022,149263
91,2013,E23000008,durham,2438,58730
92,2013,E23000009,north-yorkshire,2747,68369
93,2013,E23000010,west-yorkshire,9527,250305
94,2013,E23000011,south-yorkshire,5832,177426
95,2013,E23000012,humberside,4131,85461
96,2013,E23000013,cleveland,1987,81987
97,2013,E23000014,west-midlands,12070,248570
98,2013,E23000015,staffordshire,3880,89231
99,2013,E23000016,west-mercia,4322,108001
100,2013,E23000017,warwickshire,1918,47512
101,2013,E23000018,derbyshire,3527,100615
102,2013,E23000019,nottinghamshire,4179,102203
103,2013,E23000020,lincolnshire,1845,59602
104,2013,E23000021,leicestershire,4059,84612
105,2013,E23000022,northamptonshire,2639,73752
106,2013,E23000023,cambridgeshire,2729,71206
107,2013,E23000024,norfolk,3245,67142
108,2013,E23000025,suffolk,2576,63275
109,2013,E23000026,bedfordshire,2259,55531
110,2013,E23000027,hertfordshire,4205,77173
111,2013,E23000028,essex,6221,154651
112,2013,E23000029,thames-valley,8649,157553
113,2013,E23000030,hampshire,6607,167324
114,2013,E23000031,surrey,4615,85997
115,2013,E23000032,kent,6371,154551
116,2013,E23000033,sussex,5727,136674
117,2013,E23000034,city-of-london,1268,6427
118,2013,E23000036,avon-and-somerset,5860,151914
119,2013,E23000037,gloucestershire,2231,54125
120,2013,E23000038,wiltshire,2443,55245
121,2013,E23000039,dorset,2712,66283
122,2013,W15000001,north-wales,2865,63430
123,2013,W15000002,gwent,2574,53141
124,2013,W15000003,south-wales,5203,120694
125,2013,W15000004,dyfed-powys,2128,40617
126,2014,E23000001,metropolitan,50799,937781
127,2014,E23000002,cumbria,2109,47015
128,2014,E23000003,lancashire,5768,166773
129,2014,E23000004,merseyside,6716,153418
130,2014,E23000005,greater-manchester,12252,321370
131,2014,E23000006,cheshire,3803,86323
132,2014,E23000007,northumbria,5872,151334
133,2014,E23000008,durham,2424,58961
134,2014,E23000009,north-yorkshire,2810,66943
135,2014,E23000010,west-yorkshire,9254,231707
136,2014,E23000011,south-yorkshire,5787,175710
137,2014,E23000012,humberside,4071,86995
138,2014,E23000013,cleveland,1863,84611
139,2014,E23000014,west-midlands,11710,244959
140,2014,E23000015,staffordshire,3748,86737
141,2014,E23000016,west-mercia,4125,107470
142,2014,E23000017,warwickshire,1810,44659
143,2014,E23000018,derbyshire,3436,97372
144,2014,E23000019,nottinghamshire,4311,109859
145,2014,E23000020,lincolnshire,1828,56048
146,2014,E23000021,leicestershire,4058,81154
147,2014,E23000022,northamptonshire,2739,76313
148,2014,E23000023,cambridgeshire,2724,71815
149,2014,E23000024,norfolk,3275,68729
150,2014,E23000025,suffolk,2632,58388
151,2014,E23000026,bedfordshire,2159,59048
152,2014,E23000027,hertfordshire,4024,81528
153,2014,E23000028,essex,5972,150756
154,2014,E23000029,thames-valley,8590,142247
155,2014,E23000030,hampshire,6200,157412
156,2014,E23000031,surrey,4277,82027
157,2014,E23000032,kent,6276,158770
158,2014,E23000033,sussex,5735,138106
159,2014,E23000034,city-of-london,1249,6266
160,2014,E23000036,avon-and-somerset,5803,140161
161,2014,E23000037,gloucestershire,2162,53048
162,2014,E23000038,wiltshire,2406,52146
163,2014,E23000039,dorset,2646,60977
164,2014,W15000001,north-wales,2864,59965
165,2014,W15000002,gwent,2430,63192
166,2014,W15000003,south-wales,5306,130512
167,2014,W15000004,dyfed-powys,2145,36801
168,2015,E23000001,metropolitan,50461,936600
169,2015,E23000002,cumbria,2086,40471
170,2015,E23000003,lancashire,5492,165588
171,2015,E23000004,merseyside,6460,153921
172,2015,E23000005,greater-manchester,12081,344210
173,2015,E23000006,cheshire,3901,85109
174,2015,E23000007,northumbria,5684,155792
175,2015,E23000008,durham,2343,57526
176,2015,E23000009,north-yorkshire,2865,66777
177,2015,E23000010,west-yorkshire,9596,257577
178,2015,E23000011,south-yorkshire,5553,175469
179,2015,E23000012,humberside,3794,84376
180,2015,E23000013,cleveland,1759,89754
181,2015,E23000014,west-midlands,11709,242553
182,2015,E23000015,staffordshire,3696,93090
183,2015,E23000016,west-mercia,4169,112326
184,2015,E23000017,warwickshire,1797,46193
185,2015,E23000018,derbyshire,3670,95936
186,2015,E23000019,nottinghamshire,4123,109685
187,2015,E23000020,lincolnshire,1842,55031
188,2015,E23000021,leicestershire,3921,72814
189,2015,E23000022,northamptonshire,2763,76232
190,2015,E23000023,cambridgeshire,2701,69841
191,2015,E23000024,norfolk,3213,68041
192,2015,E23000025,suffolk,2511,59943
193,2015,E23000026,bedfordshire,2386,61437
194,2015,E23000027,hertfordshire,3867,88949
195,2015,E23000028,essex,5822,160985
196,2015,E23000029,thames-valley,8583,153240
197,2015,E23000030,hampshire,5728,176316
198,2015,E23000031,surrey,3970,90983
199,2015,E23000032,kent,6117,156849
200,2015,E23000033,sussex,5646,138065
201,2015,E23000034,city-of-london,1239,5923
202,2015,E23000036,avon-and-somerset,5812,142367
203,2015,E23000037,gloucestershire,2130,52671
204,2015,E23000038,wiltshire,2281,54971
205,2015,E23000039,dorset,2743,59117
206,2015,W15000001,north-wales,2849,59244
207,2015,W15000002,gwent,2272,61125
208,2015,W15000003,south-wales,5345,124647
209,2015,W15000004,dyfed-powys,2077,35951
210,2016,E23000001,metropolitan,48417,983658
211,2016,E23000002,cumbria,1979,38336
212,2016,E23000003,lancashire,5574,175870
213,2016,E23000004,merseyside,6115,159851
214,2016,E23000005,greater-manchester,11696,362115
215,2016,E23000006,cheshire,4006,89168
216,2016,E23000007,northumbria,5385,180630
217,2016,E23000008,durham,2274,63109
218,2016,E23000009,north-yorkshire,2786,66367
219,2016,E23000010,west-yorkshire,9562,290240
220,2016,E23000011,south-yorkshire,5154,184666
221,2016,E23000012,humberside,3489,91906
222,2016,E23000013,cleveland,1726,93723
223,2016,E23000014,west-midlands,11313,259860
224,2016,E23000015,staffordshire,3578,105306
225,2016,E23000016,west-mercia,4312,120770
226,2016,E23000017,warwickshire,1758,52099
227,2016,E23000018,derbyshire,3520,95401
228,2016,E23000019,nottinghamshire,3762,114819
229,2016,E23000020,lincolnshire,1753,55516
230,2016,E23000021,leicestershire,3825,83686
231,2016,E23000022,northamptonshire,2939,87985
232,2016,E23000023,cambridgeshire,2629,78615
233,2016,E23000024,norfolk,3150,69098
234,2016,E23000025,suffolk,2391,57395
235,2016,E23000026,bedfordshire,2267,64984
236,2016,E23000027,hertfordshire,3822,102752
237,2016,E23000028,essex,5622,170522
238,2016,E23000029,thames-valley,8312,159973
239,2016,E23000030,hampshire,5539,185162
240,2016,E23000031,surrey,3922,85250
241,2016,E23000032,kent,6015,169790
242,2016,E23000033,sussex,5419,140169
243,2016,E23000034,city-of-london,1200,6332
244,2016,E23000036,avon-and-somerset,5723,145571
245,2016,E23000037,gloucestershire,2097,52970
246,2016,E23000038,wiltshire,2219,57216
247,2016,E23000039,dorset,2623,66151
248,2016,W15000001,north-wales,2898,58911
249,2016,W15000002,gwent,2105,62033
250,2016,W15000003,south-wales,5207,130823
251,2016,W15000004,dyfed-powys,2120,38254
252,2017,E23000001,metropolitan,45762,1028902
253,2017,E23000002,cumbria,1961,38901
254,2017,E23000003,lancashire,5563,189873
255,2017,E23000004,merseyside,5965,171056
256,2017,E23000005,greater-manchester,11349,411894
257,2017,E23000006,cheshire,4074,105572
258,2017,E23000007,northumbria,5291,209593
259,2017,E23000008,durham,2278,80049
260,2017,E23000009,north-yorkshire,2843,67072
261,2017,E23000010,west-yorkshire,9629,306165
262,2017,E23000011,south-yorkshire,5129,201846
263,2017,E23000012,humberside,3429,101066
264,2017,E23000013,cleveland,1803,98325
265,2017,E23000014,west-midlands,10893,284897
266,2017,E23000015,staffordshire,3506,110262
267,2017,E23000016,west-mercia,4425,129127
268,2017,E23000017,warwickshire,1823,57776
269,2017,E23000018,derbyshire,3543,96198
270,2017,E23000019,nottinghamshire,3477,127822
271,2017,E23000020,lincolnshire,1709,60300
272,2017,E23000021,leicestershire,3807,96571
273,2017,E23000022,northamptonshire,2618,81071
274,2017,E23000023,cambridgeshire,2587,87168
275,2017,E23000024,norfolk,3147,73537
276,2017,E23000025,suffolk,2363,62976
277,2017,E23000026,bedfordshire,2289,65948
278,2017,E23000027,hertfordshire,3793,118283
279,2017,E23000028,essex,5501,181820
280,2017,E23000029,thames-valley,8149,169584
281,2017,E23000030,hampshire,5632,204048
282,2017,E23000031,surrey,3958,95197
283,2017,E23000032,kent,6174,205723
284,2017,E23000033,sussex,5176,151052
285,2017,E23000034,city-of-london,1181,6934
286,2017,E23000036,avon-and-somerset,5736,158494
287,2017,E23000037,gloucestershire,2061,55923
288,2017,E23000038,wiltshire,2221,60982
289,2017,E23000039,dorset,2805,73560
290,2017,W15000001,north-wales,2842,64089
291,2017,W15000002,gwent,1988,57889
292,2017,W15000003,south-wales,5283,140710
293,2017,W15000004,dyfed-powys,2174,40637
294,2018,E23000001,metropolitan,44690,1041477
295,2018,E23000002,cumbria,2052,44970
296,2018,E23000003,lancashire,6000,206711
297,2018,E23000004,merseyside,5980,167756
298,2018,E23000005,greater-manchester,11237,393161
299,2018,E23000006,cheshire,4137,104232
300,2018,E23000007,northumbria,5311,216427
301,2018,E23000008,durham,2392,80379
302,2018,E23000009,north-yorkshire,3183,69687
303,2018,E23000010,west-yorkshire,10163,333530
304,2018,E23000011,south-yorkshire,5297,179673
305,2018,E23000012,humberside,3662,107268
306,2018,E23000013,cleveland,1849,101029
307,2018,E23000014,west-midlands,11138,296988
308,2018,E23000015,staffordshire,3608,109154
309,2018,E23000016,west-mercia,4287,127595
310,2018,E23000017,warwickshire,1856,55683
311,2018,E23000018,derbyshire,3695,96704
312,2018,E23000019,nottinghamshire,3742,135798
313,2018,E23000020,lincolnshire,2003,66283
314,2018,E23000021,leicestershire,4117,101626
315,2018,E23000022,northamptonshire,2618,80189
316,2018,E23000023,cambridgeshire,2735,78354
317,2018,E23000024,norfolk,3207,72897
318,2018,E23000025,suffolk,2501,62432
319,2018,E23000026,bedfordshire,2427,72632
320,2018,E23000027,hertfordshire,4153,111248
321,2018,E23000028,essex,5903,199743
322,2018,E23000029,thames-valley,8662,174898
323,2018,E23000030,hampshire,6086,175700
324,2018,E23000031,surrey,4129,94522
325,2018,E23000032,kent,6746,214142
326,2018,E23000033,sussex,5170,145600
327,2018,E23000034,city-of-london,1244,7943
328,2018,E23000036,avon-and-somerset,6206,155874
329,2018,E23000037,gloucestershire,2258,52977
330,2018,E23000038,wiltshire,2472,58895
331,2018,E23000039,dorset,2950,74714
332,2018,W15000001,north-wales,3095,69756
333,2018,W15000002,gwent,2085,59798
334,2018,W15000003,south-wales,5737,138387
335,2018,W15000004,dyfed-powys,2211,40402
336,2019,E23000001,metropolitan,44596,1094874
337,2019,E23000002,cumbria,2098,45817
338,2019,E23000003,lancashire,5874,182689
339,2019,E23000004,merseyside,6082,163246
340,2019,E23000005,greater-manchester,11485,193263
341,2019,E23000006,cheshire,4182,105543
342,2019,E23000007,northumbria,5179,198298
343,2019,E23000008,durham,2313,80905
344,2019,E23000009,north-yorkshire,3264,69552
345,2019,E23000010,west-yorkshire,10341,328555
346,2019,E23000011,south-yorkshire,5223,171790
347,2019,E23000012,humberside,3748,109149
348,2019,E23000013,cleveland,1881,98597
349,2019,E23000014,west-midlands,10937,296172
350,2019,E23000015,staffordshire,3470,98930
351,2019,E23000016,west-mercia,4223,127188
352,2019,E23000017,warwickshire,1790,53989
353,2019,E23000018,derbyshire,3696,111664
354,2019,E23000019,nottinghamshire,3709,138535
355,2019,E23000020,lincolnshire,1937,74085
356,2019,E23000021,leicestershire,4097,98055
357,2019,E23000022,northamptonshire,2640,79793
358,2019,E23000023,cambridgeshire,2783,81878
359,2019,E23000024,norfolk,3218,69942
360,2019,E23000025,suffolk,2468,56803
361,2019,E23000026,bedfordshire,2518,67176
362,2019,E23000027,hertfordshire,4356,112423
363,2019,E23000028,essex,6118,209030
364,2019,E23000029,thames-valley,8809,176634
365,2019,E23000030,hampshire,5484,163482
366,2019,E23000031,surrey,4016,97550
367,2019,E23000032,kent,7053,217915
368,2019,E23000033,sussex,5383,155887
369,2019,E23000034,city-of-london,1280,9356
370,2019,E23000036,avon-and-somerset,6320,157141
371,2019,E23000037,gloucestershire,2418,54082
372,2019,E23000038,wiltshire,2523,60433
373,2019,E23000039,dorset,2873,71155
374,2019,W15000001,north-wales,3061,72412
375,2019,W15000002,gwent,2198,59674
376,2019,W15000003,south-wales,5782,138838
377,2019,W15000004,dyfed-powys,2190,41096
378,2020,E23000001,metropolitan,46797,1176294
379,2020,E23000002,cumbria,2178,43535
380,2020,E23000003,lancashire,6106,215683
381,2020,E23000004,merseyside,6362,173437
382,2020,E23000006,cheshire,4193,105861
383,2020,E23000007,northumbria,5381,200151
384,2020,E23000008,durham,2335,80793
385,2020,E23000009,north-yorkshire,3227,71384
386,2020,E23000010,west-yorkshire,10601,306779
387,2020,E23000011,south-yorkshire,5372,167555
388,2020,E23000012,humberside,3776,100781
389,2020,E23000013,cleveland,2148,97827
390,2020,E23000014,west-midlands,11338,322797
391,2020,E23000015,staffordshire,3518,98924
392,2020,E23000016,west-mercia,4532,104676
393,2020,E23000017,warwickshire,2093,54927
394,2020,E23000018,derbyshire,3894,118984
395,2020,E23000019,nottinghamshire,3903,135729
396,2020,E23000020,lincolnshire,1919,73020
397,2020,E23000021,leicestershire,4196,94575
398,2020,E23000022,northamptonshire,2647,86543
399,2020,E23000023,cambridgeshire,2851,77646
400,2020,E23000024,norfolk,3379,78396
401,2020,E23000025,suffolk,2588,61138
402,2020,E23000026,bedfordshire,2565,63913
403,2020,E23000027,hertfordshire,4425,102893
404,2020,E23000028,essex,6461,208082
405,2020,E23000029,thames-valley,9067,178278
406,2020,E23000030,hampshire,5406,176708
407,2020,E23000031,surrey,4059,97757
408,2020,E23000032,kent,7250,216547
409,2020,E23000033,sussex,5756,160850
410,2020,E23000034,city-of-london,1314,5380
411,2020,E23000036,avon-and-somerset,6473,152544
412,2020,E23000037,gloucestershire,2651,60305
413,2020,E23000038,wiltshire,2523,52442
414,2020,E23000039,dorset,2971,73106
415,2020,W15000001,north-wales,3012,70665
416,2020,W15000002,gwent,2281,67301
417,2020,W15000003,south-wales,6025,147978
418,2020,W15000004,dyfed-powys,2212,45292
